date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2007-04-30,"10,050,699",1.039999999999992,1.0279727191855215,10050699,1.040,1.03%,103.0,100.97,30 Apr 2007,USD,102.21,101.0,IBM
2007-04-27,"6,141,359",0.269999999999996,0.26759167492566505,6141359,0.270,0.27%,101.17,100.06,27 Apr 2007,USD,101.17,100.61,IBM
2007-04-26,"8,615,188",-0.5599999999999881,-0.5519416518825035,8615188,-0.560,-0.55%,101.5,100.21,26 Apr 2007,USD,100.9,101.4,IBM
2007-04-25,"14,827,675",2.969999999999999,3.0155345720377693,14827675,2.970,3.02%,101.7,98.73,25 Apr 2007,USD,101.46,98.79,IBM
2007-04-24,"21,494,578",3.280000000000001,3.445016279802543,21494578,3.280,3.45%,99.9,97.23,24 Apr 2007,USD,98.49,95.49,IBM
2007-04-23,"7,247,500",0.6299999999999955,0.6661027701416742,7247500,0.630,0.67%,95.73,95.05,23 Apr 2007,USD,95.21,95.31,IBM
2007-04-20,"9,340,296",0.28999999999999204,0.3075617774949539,9340296,0.290,0.31%,95.15,93.911,20 Apr 2007,USD,94.58,95.02,IBM
2007-04-19,"9,446,948",-0.5099999999999909,-0.5379746835442942,9446948,-0.510,-0.54%,94.87,94.0,19 Apr 2007,USD,94.29,94.5,IBM
2007-04-18,"15,871,734",-2.3200000000000074,-2.388797364085675,15871734,-2.320,-2.39%,95.91,94.4,18 Apr 2007,USD,94.8,94.51,IBM
2007-04-17,"10,271,833",0.9399999999999977,0.9773341651070885,10271833,0.940,0.98%,97.66,96.02,17 Apr 2007,USD,97.12,96.3,IBM
2007-04-16,"6,865,100",1.25,1.3167597176867165,6865100,1.250,1.32%,96.3,94.72,16 Apr 2007,USD,96.18,95.75,IBM
2007-04-13,"6,027,883",-0.7399999999999949,-0.7734922128148791,6027883,-0.740,-0.77%,95.75,94.59,13 Apr 2007,USD,94.93,95.75,IBM
2007-04-12,"7,085,294",0.5100000000000051,0.5359394703657052,7085294,0.510,0.54%,95.82,94.53,12 Apr 2007,USD,95.67,95.16,IBM
2007-04-11,"5,940,774",-1.2999999999999972,-1.3477088948787033,5940774,-1.300,-1.35%,96.7,94.95,11 Apr 2007,USD,95.16,96.51,IBM
2007-04-10,"3,596,400",-0.1600000000000108,-0.16559718484786876,3596400,-0.160,-0.17%,96.8,96.1642,10 Apr 2007,USD,96.46,96.4,IBM
2007-04-09,"4,850,581",0.10000000000000853,0.10360547036884431,4850581,0.100,0.10%,96.94,96.12,9 Apr 2007,USD,96.62,96.43,IBM
2007-04-05,"3,307,100",0.3100000000000023,0.3222118282922797,3307100,0.310,0.32%,96.75,95.75,5 Apr 2007,USD,96.52,95.98,IBM
2007-04-04,"4,277,725",0.10999999999999943,0.11446409989594114,4277725,0.110,0.11%,96.45,95.57,4 Apr 2007,USD,96.21,96.21,IBM
2007-04-03,"5,730,800",0.8900000000000006,0.9347757588488611,5730800,0.890,0.93%,96.23,95.33,3 Apr 2007,USD,96.1,95.45,IBM
2007-04-02,"5,883,700",0.9499999999999886,1.0078506259282713,5883700,0.950,1.01%,95.5,94.06,2 Apr 2007,USD,95.21,94.26,IBM
2007-03-30,"7,638,050",-0.30999999999998806,-0.32779951358780596,7638050,-0.310,-0.33%,94.75,93.57,30 Mar 2007,USD,94.26,94.57,IBM
2007-03-29,"6,851,600",0.30999999999998806,0.32887757267132195,6851600,0.310,0.33%,95.11,93.96,29 Mar 2007,USD,94.57,94.66,IBM
2007-03-28,"8,128,557",-0.46999999999999886,-0.49614694394595044,8128557,-0.470,-0.50%,95.02,93.8,28 Mar 2007,USD,94.26,93.9,IBM
2007-03-27,"4,695,800",-0.269999999999996,-0.2842105263157853,4695800,-0.270,-0.28%,95.03,94.2,27 Mar 2007,USD,94.73,94.71,IBM
2007-03-26,"6,729,345",-0.030000000000001137,-0.03156897821740622,6729345,-0.030,-0.03%,95.25,94.32,26 Mar 2007,USD,95.0,95.0,IBM
2007-03-23,"4,412,483",-0.1599999999999966,-0.16808488286584367,4412483,-0.160,-0.17%,95.22,94.65,23 Mar 2007,USD,95.03,95.19,IBM
2007-03-22,"5,993,550",-0.1700000000000017,-0.1782718120805387,5993550,-0.170,-0.18%,95.44,94.65,22 Mar 2007,USD,95.19,95.1,IBM
2007-03-21,"7,665,695",0.8599999999999994,0.9100529100529094,7665695,0.860,0.91%,95.81,93.83,21 Mar 2007,USD,95.36,94.5,IBM
2007-03-20,"4,560,000",0.5100000000000051,0.542610916054905,4560000,0.510,0.54%,94.53,93.55,20 Mar 2007,USD,94.5,94.0,IBM
2007-03-19,"4,568,062",0.7399999999999949,0.7935656836461071,4568062,0.740,0.79%,94.32,93.39,19 Mar 2007,USD,93.99,93.95,IBM
2007-03-16,"8,733,050",-0.20000000000000284,-0.21401819154628446,8733050,-0.200,-0.21%,94.45,93.02,16 Mar 2007,USD,93.25,94.45,IBM
2007-03-15,"5,910,149",-0.3100000000000023,-0.33063139931740854,5910149,-0.310,-0.33%,93.97,93.1,15 Mar 2007,USD,93.45,93.4,IBM
2007-03-14,"8,714,065",1.0500000000000114,1.1325639089634467,8714065,1.050,1.13%,94.03,92.1,14 Mar 2007,USD,93.76,94.11,IBM
2007-03-13,"7,539,100",-1.4000000000000057,-1.4876208691956283,7539100,-1.400,-1.49%,94.47,92.62,13 Mar 2007,USD,92.71,93.86,IBM
2007-03-12,"5,531,300",0.8299999999999983,0.889794168096053,5531300,0.830,0.89%,94.17,92.97,12 Mar 2007,USD,94.11,93.29,IBM
2007-03-09,"6,333,100",0.28000000000000114,0.30107526881720553,6333100,0.280,0.30%,94.0,92.82,9 Mar 2007,USD,93.28,93.48,IBM
2007-03-08,"7,404,500",-0.9399999999999977,-1.0006387055567358,7404500,-0.940,-1.00%,94.82,92.519,8 Mar 2007,USD,93.0,94.5,IBM
2007-03-07,"10,269,300",0.14000000000000057,0.14925373134328418,10269300,0.140,0.15%,94.85,93.62,7 Mar 2007,USD,93.94,93.97,IBM
2007-03-06,"9,184,500",1.9899999999999949,2.167519878008926,9184500,1.990,2.17%,93.89,92.26,6 Mar 2007,USD,93.8,91.81,IBM
2007-03-05,"10,334,713",0.9099999999999966,1.0011001100109973,10334713,0.910,1.00%,92.15,90.1,5 Mar 2007,USD,91.81,90.25,IBM
2007-03-02,"9,451,500",-1.3699999999999903,-1.484772948954146,9451500,-1.370,-1.48%,92.37,90.84,2 Mar 2007,USD,90.9,92.27,IBM
2007-03-01,"12,865,732",-0.6700000000000017,-0.7208952012050804,12865732,-0.670,-0.72%,93.05,88.77,1 Mar 2007,USD,92.27,90.25,IBM
2007-02-28,"12,191,600",-1.019999999999996,-1.085568326947633,12191600,-1.020,-1.09%,94.09,92.47,28 Feb 2007,USD,92.94,93.96,IBM
2007-02-27,"12,071,500",-2.950000000000003,-3.044061500361163,12071500,-2.950,-3.04%,96.01,92.88,27 Feb 2007,USD,93.96,96.0,IBM
